group,generic_name,Risk 
tetracyclines,"Doxycycline Hyclate;Eyelid Cleanser;Spray, Multi I",Low
tetracyclines,Doxycycline;Cleanser,Low
tetracyclines,Doxycycline;Cleanser and Moisturizer,Low
tetracyclines,Doxycycline;Flaxseed Oil/Omega-3 Fatty Acids/Vit E,Low
tetracyclines,Doxycycline;Nutritional Supplement,Low
tetracyclines,Doxycycline;Octinoxate/Zinc Oxide;Salicylic Acid,Low
tetracyclines,HC Ace/Oxytetracycline HCl,Low
tetracyclines,Inactive Record,?
tetracyclines,Lidocaine Hydrochloride/Oxytetracycline,Low
tetracyclines,Methacycline Hydrocholride,Low
tetracyclines,Minocycline Hydrochloride,Low
tetracyclines,Oxytetracycline,Low
tetracyclines,Oxytetracycline Hydrochloride,Low
tetracyclines,Oxytetracycline Hydrochloride/Polymyxin B Sulfate,Low
tetracyclines,Tetracycline,Low
tetracyclines,Tetracycline Hydrochloride,Low
tetracyclines,Tetracycline/Amphotericin,Low
