ICD10 plots,from ICD9,dx,n,desc
,,E1140,55978,E1140 - Type 2 diabetes mellitus with diabetic n
,,Z724,55969,Z724 - Inappropriate diet and eating habits
,,N179,55401,"N179 - Acute kidney failure, unspecified"
Y,,R531,54320,R531 - Weakness
,,F17210,53695,"F17210 - Nicotine dependence, cigarettes, uncompl"
Y,Y,M542,53655,M542 - Cervicalgia
,,E6601,51634,E6601 - Morbid (severe) obesity due to excess ca
,,M1990,50823,"M1990 - Unspecified osteoarthritis, unspecified "
,,R262,50790,"R262 - Difficulty in walking, not elsewhere cla"
,,F1120,50730,"F1120 - Opioid dependence, uncomplicated"
,,Z0000,50609,Z0000 - Encounter for general adult medical exam
,,B351,50480,B351 - Tinea unguium
,,E559,49156,"E559 - Vitamin D deficiency, unspecified"
Y,,I480,48796,I480 - Paroxysmal atrial fibrillation
,,N189,47731,"N189 - Chronic kidney disease, unspecified"
Y,Y,J189,47280,"J189 - Pneumonia, unspecified organism"
Y,Y,R0789,47099,R0789 - Other chest pain
,Y,F411,45654,F411 - Generalized anxiety disorder
,,E1142,45225,E1142 - Type 2 diabetes mellitus with diabetic p
,,E669,44944,"E669 - Obesity, unspecified"
Y,Y,R109,43789,R109 - Unspecified abdominal pain
,,Z794,43635,Z794 - Long term (current) use of insulin
,,I110,40274,I110 - Hypertensive heart disease with heart fa
,,G309,40208,"G309 - Alzheimer's disease, unspecified"
,,E118,39801,E118 - Type 2 diabetes mellitus with unspecifie
,Y,R918,39456,R918 - Other nonspecific abnormal finding of lu
,,I120,38703,I120 - Hypertensive chronic kidney disease with
,,M150,37633,M150 - Primary generalized (osteo)arthritis
,,E11621,37433,E11621 - Type 2 diabetes mellitus with foot ulcer
,,I639,36006,"I639 - Cerebral infarction, unspecified"
Y,Y,J45909,35738,"J45909 - Unspecified asthma, uncomplicated"
,,G894,35636,G894 - Chronic pain syndrome
,,M5416,34880,"M5416 - Radiculopathy, lumbar region"
,,M5136,34848,"M5136 - Other intervertebral disc degeneration, "
,,N184,34700,"N184 - Chronic kidney disease, stage 4 (severe)"
Y,Y,R9431,34647,R9431 - Abnormal electrocardiogram [ECG] [EKG]
,,F331,34611,"F331 - Major depressive disorder, recurrent, mo"
Y,Y,R0600,33977,"R0600 - Dyspnea, unspecified"
,,Z87891,33886,Z87891 - Personal history of nicotine dependence
Y,Y,R42,32611,R42 - Dizziness and giddiness
,,M9903,32605,M9903 - Segmental and somatic dysfunction of lum
,,F17200,31993,"F17200 - Nicotine dependence, unspecified, uncomp"
,,M25561,30802,M25561 - Pain in right knee
,,M129,30471,"M129 - Arthropathy, unspecified"
,,E7800,30345,"E7800 - Pure hypercholesterolemia, unspecified"
,,C61,30334,C61 - Malignant neoplasm of prostate
,,M25511,30334,M25511 - Pain in right shoulder
Y,Y,R0902,30236,R0902 - Hypoxemia
Y,Y,J90,30145,"J90 - Pleural effusion, not elsewhere classifi"
,,I5032,29682,I5032 - Chronic diastolic (congestive) heart fai
Y,,R600,29238,R600 - Localized edema
Y,,E876,28937,E876 - Hypokalemia
Y,Y,R5383,28919,R5383 - Other fatigue
Y,Y,R112,28837,"R112 - Nausea with vomiting, unspecified"
,,M9901,28480,M9901 - Segmental and somatic dysfunction of cer
Y,Y,I517,28337,I517 - Cardiomegaly
,,E780,28320,E780 - Pure hypercholesterolemia
,,R2689,28106,R2689 - Other abnormalities of gait and mobility
,,M25562,27810,M25562 - Pain in left knee
,,I5022,27714,I5022 - Chronic systolic (congestive) heart fail
,,Z5111,26294,Z5111 - Encounter for antineoplastic chemotherap
Y,Y,M25512,26129,M25512 - Pain in left shoulder
,Y,A419,26089,"A419 - Sepsis, unspecified organism"
,,E109,26015,E109 - Type 1 diabetes mellitus without complic
,,R99,25964,R99 - Ill-defined and unknown cause of mortali
,,Z01818,25961,Z01818 - Encounter for other preprocedural examin
Y,Y,R55,25900,R55 - Syncope and collapse
,,M069,25408,"M069 - Rheumatoid arthritis, unspecified"
,,I130,25373,I130 - Hypertensive heart and chronic kidney di
Y,Y,R51,25335,R51 - Headache
Y,Y,R4182,25268,"R4182 - Altered mental status, unspecified"
,,Z5181,25106,Z5181 - Encounter for therapeutic drug level mon
Y,Y,E875,25083,E875 - Hyperkalemia
,,I6789,24784,I6789 - Other cerebrovascular disease
,,I252,24467,I252 - Old myocardial infarction
,,G20,24377,G20 - Parkinson's disease
,,F319,24310,"F319 - Bipolar disorder, unspecified"
,,E1151,24126,E1151 - Type 2 diabetes mellitus with diabetic p
Y,Y,E871,23974,E871 - Hypo-osmolality and hyponatremia
Y,Y,E860,23109,E860 - Dehydration
,,F0280,22980,F0280 - Dementia in other diseases classified el
Y,Y,M549,22835,"M549 - Dorsalgia, unspecified"
,,I482,22811,I482 - Chronic atrial fibrillation
,,Z7982,22609,Z7982 - Long term (current) use of aspirin
,,R269,22536,R269 - Unspecified abnormalities of gait and mo
,,K5900,22202,"K5900 - Constipation, unspecified"
,,I872,21850,I872 - Venous insufficiency (chronic) (peripher
,Y,G4700,21759,"G4700 - Insomnia, unspecified"
,,M810,21475,M810 - Age-related osteoporosis without current
,,M25551,21309,M25551 - Pain in right hip
Y,Y,R5381,21251,R5381 - Other malaise
,,R197,21177,"R197 - Diarrhea, unspecified"
Y,Y,J439,21152,"J439 - Emphysema, unspecified"
,,R1310,21104,"R1310 - Dysphagia, unspecified"
,,F209,20938,"F209 - Schizophrenia, unspecified"
,,M47816,20898,M47816 - Spondylosis without myelopathy or radicu
Y,Y,R110,20756,R110 - Nausea
Y,Y,J209,20454,"J209 - Acute bronchitis, unspecified"
,,F1020,20384,"F1020 - Alcohol dependence, uncomplicated"
Y,Y,J9601,20208,J9601 - Acute respiratory failure with hypoxia
Y,,I429,20073,"I429 - Cardiomyopathy, unspecified"
Y,,I350,20043,I350 - Nonrheumatic aortic (valve) stenosis
,,G35,20022,G35 - Multiple sclerosis
Y,Y,I340,19867,I340 - Nonrheumatic mitral (valve) insufficienc
,,L570,19664,L570 - Actinic keratosis
,,R32,19577,R32 - Unspecified urinary incontinence
,,R569,19506,R569 - Unspecified convulsions
,,R2681,19494,R2681 - Unsteadiness on feet
,,E1121,19480,E1121 - Type 2 diabetes mellitus with diabetic n
,,F332,19450,"F332 - Major depressive disorder, recurrent sev"
,,G629,19385,"G629 - Polyneuropathy, unspecified"
,,D689,19206,"D689 - Coagulation defect, unspecified"
,,M1711,19202,"M1711 - Unilateral primary osteoarthritis, right"
,,M25552,19063,M25552 - Pain in left hip
Y,,R000,18754,"R000 - Tachycardia, unspecified"
Y,Y,J9811,18492,J9811 - Atelectasis
,,F339,18385,"F339 - Major depressive disorder, recurrent, un"
,,N401,18353,N401 - Benign prostatic hyperplasia with lower 
Y,Y,R509,18331,"R509 - Fever, unspecified"
,,E291,18191,E291 - Testicular hypofunction
Y,Y,M546,18167,M546 - Pain in thoracic spine
Y,Y,J069,18092,"J069 - Acute upper respiratory infection, unspe"
Y,,R609,18074,"R609 - Edema, unspecified"
,,C7951,18052,C7951 - Secondary malignant neoplasm of bone
Y,Y,D72829,18030,"D72829 - Elevated white blood cell count, unspeci"
,,C3490,17919,C3490 - Malignant neoplasm of unspecified part o
,,M1712,17834,"M1712 - Unilateral primary osteoarthritis, left "
,,E784,17815,E784 - Other hyperlipidemia
,,Z1231,17324,Z1231 - Encounter for screening mammogram for ma
,,F4310,17237,"F4310 - Post-traumatic stress disorder, unspecif"
,,M7989,17229,M7989 - Other specified soft tissue disorders
,,Z1211,17215,Z1211 - Encounter for screening for malignant ne
,,M4806,17154,"M4806 - Spinal stenosis, lumbar region"
,,M109,17085,"M109 - Gout, unspecified"
,,M159,17085,"M159 - Polyosteoarthritis, unspecified"
,,G40909,16899,"G40909 - Epilepsy, unspecified, not intractable, "
,,H2513,16875,"H2513 - Age-related nuclear cataract, bilateral"
,,N19,16860,N19 - Unspecified kidney failure
,,I119,16799,I119 - Hypertensive heart disease without heart
,,R7989,16793,R7989 - Other specified abnormal findings of blo
,,E1169,16742,E1169 - Type 2 diabetes mellitus with other spec
,,M5412,16653,"M5412 - Radiculopathy, cervical region"
,,M9902,16622,M9902 - Segmental and somatic dysfunction of tho
,,N400,16595,N400 - Benign prostatic hyperplasia without low
,,M170,16475,M170 - Bilateral primary osteoarthritis of knee
,,M79671,16314,M79671 - Pain in right foot
,,Z8673,16237,Z8673 - Personal history of transient ischemic a
,,N200,16173,N200 - Calculus of kidney
,,Z720,16134,Z720 - Tobacco use
,,Z79891,15580,Z79891 - Long term (current) use of opiate analge
,,Z9181,15431,Z9181 - History of falling
,,Z452,15332,Z452 - Encounter for adjustment and management 
Y,,D696,15302,"D696 - Thrombocytopenia, unspecified"
Y,Y,R1084,15276,R1084 - Generalized abdominal pain
Y,,G4730,15077,"G4730 - Sleep apnea, unspecified"
Y,,E872,15027,E872 - Acidosis
Y,Y,R002,15021,R002 - Palpitations
,,I255,15010,I255 - Ischemic cardiomyopathy
,,F70,14757,F70 - Mild intellectual disabilities
Y,Y,R1013,14734,R1013 - Epigastric pain
,,R339,14691,"R339 - Retention of urine, unspecified"
,,M79674,14648,M79674 - Pain in right toe(s)
,,E1129,14596,E1129 - Type 2 diabetes mellitus with other diab
,,R1312,14543,"R1312 - Dysphagia, oropharyngeal phase"
,,I6350,14312,I6350 - Cerebral infarction due to unspecified o
Y,Y,I959,14300,"I959 - Hypotension, unspecified"
,,I5033,14256,I5033 - Acute on chronic diastolic (congestive) 
,,L03115,14247,L03115 - Cellulitis of right lower limb
,,L03116,14182,L03116 - Cellulitis of left lower limb
,,E538,14133,E538 - Deficiency of other specified B group vi
,,E1065,14070,E1065 - Type 1 diabetes mellitus with hyperglyce
,,C9000,14048,C9000 - Multiple myeloma not having achieved rem
,,Z950,13926,Z950 - Presence of cardiac pacemaker
,,Z510,13673,Z510 - Encounter for antineoplastic radiation t
,,J301,13494,J301 - Allergic rhinitis due to pollen
,,M79672,13440,M79672 - Pain in left foot
,,M5126,13379,"M5126 - Other intervertebral disc displacement, "
,,R52,13349,"R52 - Pain, unspecified"
Y,Y,R001,13317,"R001 - Bradycardia, unspecified"
Y,,K5730,13218,K5730 - Diverticulosis of large intestine withou
,,I6523,13212,I6523 - Occlusion and stenosis of bilateral caro
,Y,R0989,13158,R0989 - Other specified symptoms and signs invol
,,Z951,13111,Z951 - Presence of aortocoronary bypass graft
,,I890,12930,"I890 - Lymphedema, not elsewhere classified"
,,F341,12880,F341 - Dysthymic disorder
,,I5023,12867,I5023 - Acute on chronic systolic (congestive) h
,,F200,12837,F200 - Paranoid schizophrenia
,,M79604,12809,M79604 - Pain in right leg
,,I5030,12731,I5030 - Unspecified diastolic (congestive) heart
,,F71,12703,F71 - Moderate intellectual disabilities
Y,,E8770,12701,"E8770 - Fluid overload, unspecified"
,,Z01810,12568,Z01810 - Encounter for preprocedural cardiovascul
,,D485,12405,D485 - Neoplasm of uncertain behavior of skin
,,M47817,12382,M47817 - Spondylosis without myelopathy or radicu
,,Z5189,12232,Z5189 - Encounter for other specified aftercare
,,Z20828,12097,Z20828 - Contact with and (suspected) exposure to
Y,Y,J9600,12039,"J9600 - Acute respiratory failure, unspecified w"
,,N185,11921,"N185 - Chronic kidney disease, stage 5"
Y,Y,M791,11876,M791 - Myalgia
,,R296,11853,R296 - Repeated falls
,,K7460,11846,K7460 - Unspecified cirrhosis of liver
,,M797,11811,M797 - Fibromyalgia
,,F0391,11774,F0391 - Unspecified dementia with behavioral dis
,,B20,11761,B20 - Human immunodeficiency virus [HIV] disea
,,K922,11755,"K922 - Gastrointestinal hemorrhage, unspecified"
,,D500,11702,D500 - Iron deficiency anemia secondary to bloo
Y,Y,J40,11656,"J40 - Bronchitis, not specified as acute or ch"
,Y,M47812,11624,M47812 - Spondylosis without myelopathy or radicu
,,Z471,11595,Z471 - Aftercare following joint replacement su
,,H04123,11578,H04123 - Dry eye syndrome of bilateral lacrimal g
,,E46,11543,E46 - Unspecified protein-calorie malnutrition
,,G459,11526,"G459 - Transient cerebral ischemic attack, unsp"
,,J309,11500,"J309 - Allergic rhinitis, unspecified"
Y,Y,J984,11498,J984 - Other disorders of lung
,,J9610,11370,"J9610 - Chronic respiratory failure, unspecified"
,,N289,11337,"N289 - Disorder of kidney and ureter, unspecifi"
,,F1010,11329,"F1010 - Alcohol abuse, uncomplicated"
Y,Y,R0609,11322,R0609 - Other forms of dyspnea
,,D62,11301,D62 - Acute posthemorrhagic anemia
,,F0281,11301,F0281 - Dementia in other diseases classified el
,,Z008,11248,Z008 - Encounter for other general examination
,,M79605,11211,M79605 - Pain in left leg
,,R739,11151,"R739 - Hyperglycemia, unspecified"
Y,,R911,11124,R911 - Solitary pulmonary nodule
,,I5020,11122,I5020 - Unspecified systolic (congestive) heart 
,,R634,11095,R634 - Abnormal weight loss
,,Z961,10951,Z961 - Presence of intraocular lens
,,J3089,10865,J3089 - Other allergic rhinitis
,Y,I519,10754,"I519 - Heart disease, unspecified"
,,F4323,10662,F4323 - Adjustment disorder with mixed anxiety a
,,I259,10561,"I259 - Chronic ischemic heart disease, unspecif"
,,Z125,10546,Z125 - Encounter for screening for malignant ne
,,G9340,10532,"G9340 - Encephalopathy, unspecified"
,,I2699,10531,I2699 - Other pulmonary embolism without acute c
,,M5137,10509,"M5137 - Other intervertebral disc degeneration, "
,Y,J9621,10474,J9621 - Acute and chronic respiratory failure wi
,,Z952,10421,Z952 - Presence of prosthetic heart valve
,,R300,10407,R300 - Dysuria
,,J9611,10385,J9611 - Chronic respiratory failure with hypoxia
,,L821,10385,L821 - Other seborrheic keratosis
,,E1159,10375,E1159 - Type 2 diabetes mellitus with other circ
,,R279,10346,R279 - Unspecified lack of coordination
,,I25119,10183,I25119 - Atherosclerotic heart disease of native 
Y,,J0190,10183,"J0190 - Acute sinusitis, unspecified"
,,F0150,10098,F0150 - Vascular dementia without behavioral dis
,,Z955,10014,Z955 - Presence of coronary angioplasty implant
,,I5042,9968,I5042 - Chronic combined systolic (congestive) a
,Y,K449,9962,K449 - Diaphragmatic hernia without obstruction
,,Z0289,9954,Z0289 - Encounter for other administrative exami
,,Z98890,9915,Z98890 - Other specified postprocedural states
,,F250,9914,"F250 - Schizoaffective disorder, bipolar type"
,,D638,9910,D638 - Anemia in other chronic diseases classif
,Y,F418,9891,F418 - Other specified anxiety disorders
,,E8342,9858,E8342 - Hypomagnesemia
,,R350,9797,R350 - Frequency of micturition
,,I69354,9734,I69354 - Hemiplegia and hemiparesis following cer
,,I69351,9717,I69351 - Hemiplegia and hemiparesis following cer
,,L600,9692,L600 - Ingrowing nail
,,R748,9679,R748 - Abnormal levels of other serum enzymes
,,H409,9571,H409 - Unspecified glaucoma
Y,Y,I499,9565,"I499 - Cardiac arrhythmia, unspecified"
,,M79675,9552,M79675 - Pain in left toe(s)
,,N281,9467,"N281 - Cyst of kidney, acquired"
,,R030,9458,"R030 - Elevated blood-pressure reading, without"
Y,,K529,9450,K529 - Noninfective gastroenteritis and colitis
,,Z95810,9428,Z95810 - Presence of automatic (implantable) card
,,M5417,9407,"M5417 - Radiculopathy, lumbosacral region"
Y,,R188,9332,R188 - Other ascites
Y,Y,J440,9264,J440 - Chronic obstructive pulmonary disease wi
,Y,M4802,9194,"M4802 - Spinal stenosis, cervical region"
Y,,R072,9166,R072 - Precordial pain
,,L84,9114,L84 - Corns and callosities
,Y,M2550,9089,M2550 - Pain in unspecified joint
,Y,J811,9043,J811 - Chronic pulmonary edema
,,H903,9039,"H903 - Sensorineural hearing loss, bilateral"
,,Z940,9023,Z940 - Kidney transplant status
,,M869,9017,"M869 - Osteomyelitis, unspecified"
,,F259,8975,"F259 - Schizoaffective disorder, unspecified"
,,D508,8944,D508 - Other iron deficiency anemias
,,M48061,8919,"M48061 - Spinal stenosis, lumbar region without n"
Y,Y,I209,8870,"I209 - Angina pectoris, unspecified"
,,C3411,8804,"C3411 - Malignant neoplasm of upper lobe, right "
,,S0990XA,8794,"S0990XA - Unspecified injury of head, initial enco"
Y,Y,I472,8784,I472 - Ventricular tachycardia
,,R278,8778,R278 - Other lack of coordination
,,C50919,8731,C50919 - Malignant neoplasm of unspecified site o
,,H524,8709,H524 - Presbyopia
,,R319,8707,"R319 - Hematuria, unspecified"
,Y,I272,8665,I272 - Other secondary pulmonary hypertension
,,F29,8581,F29 - Unspecified psychosis not due to a subst
Y,Y,I495,8576,I495 - Sick sinus syndrome
,,I6990,8569,I6990 - Unspecified sequelae of unspecified cere
Y,,J029,8541,"J029 - Acute pharyngitis, unspecified"
,,E43,8522,E43 - Unspecified severe protein-calorie malnu
,,F330,8497,"F330 - Major depressive disorder, recurrent, mi"
,,I132,8489,I132 - Hypertensive heart and chronic kidney di
,,G8250,8457,"G8250 - Quadriplegia, unspecified"
,,R7881,8449,R7881 - Bacteremia
,,G9341,8432,G9341 - Metabolic encephalopathy
,,Z4789,8415,Z4789 - Encounter for other orthopedic aftercare
,,I420,8405,I420 - Dilated cardiomyopathy
,,Z09,8400,Z09 - Encounter for follow-up examination afte
,,C787,8352,C787 - Secondary malignant neoplasm of liver an
,,Z01419,8344,Z01419 - Encounter for gynecological examination 
,,B182,8342,B182 - Chronic viral hepatitis C
,,M62830,8299,M62830 - Muscle spasm of back
Y,Y,I4892,8250,I4892 - Unspecified atrial flutter
,,M5441,8247,"M5441 - Lumbago with sciatica, right side"
,,F410,8223,F410 - Panic disorder [episodic paroxysmal anxi
,,R21,8151,R21 - Rash and other nonspecific skin eruption
,,G2581,8147,G2581 - Restless legs syndrome
Y,Y,K210,8138,K210 - Gastro-esophageal reflux disease with es
,,M961,8121,"M961 - Postlaminectomy syndrome, not elsewhere "
,,G8220,8070,"G8220 - Paraplegia, unspecified"
,,I714,8023,"I714 - Abdominal aortic aneurysm, without ruptu"
Y,,R410,8012,"R410 - Disorientation, unspecified"
,,Z743,7930,Z743 - Need for continuous supervision
,,M461,7923,"M461 - Sacroiliitis, not elsewhere classified"
Y,Y,I471,7894,I471 - Supraventricular tachycardia
Y,Y,R1011,7876,R1011 - Right upper quadrant pain
,,I25110,7874,I25110 - Atherosclerotic heart disease of native 
Y,Y,J9690,7847,"J9690 - Respiratory failure, unspecified, unspec"
,,C679,7776,"C679 - Malignant neoplasm of bladder, unspecifi"
Y,Y,K8020,7748,K8020 - Calculus of gallbladder without cholecys
,,N319,7733,"N319 - Neuromuscular dysfunction of bladder, un"
Y,Y,K2970,7716,"K2970 - Gastritis, unspecified, without bleeding"
,,E139,7678,E139 - Other specified diabetes mellitus withou
,,I25118,7626,I25118 - Atherosclerotic heart disease of native 
,,K760,7625,"K760 - Fatty (change of) liver, not elsewhere c"
,,U071,7621,U071 - NA
,,W19XXXA,7620,"W19XXXA - Unspecified fall, initial encounter"
,,F333,7462,"F333 - Major depressive disorder, recurrent, se"
Y,Y,J8410,7461,"J8410 - Pulmonary fibrosis, unspecified"
,,Z9981,7390,Z9981 - Dependence on supplemental oxygen
,,R29898,7357,R29898 - Other symptoms and signs involving the m
Y,Y,R1110,7307,"R1110 - Vomiting, unspecified"
,,M19011,7233,"M19011 - Primary osteoarthritis, right shoulder"
,,M25571,7225,M25571 - Pain in right ankle and joints of right 
,,H6123,7208,"H6123 - Impacted cerumen, bilateral"
,,G609,7179,"G609 - Hereditary and idiopathic neuropathy, un"
,,R293,7108,R293 - Abnormal posture
Y,Y,R062,7105,R062 - Wheezing
,,Z20822,7099,Z20822 - NA
,,L97512,7097,L97512 - Non-pressure chronic ulcer of other part
,,L97522,7088,L97522 - Non-pressure chronic ulcer of other part
Y,,R7309,7060,R7309 - Other abnormal glucose
,,M5116,7056,M5116 - Intervertebral disc disorders with radic
,,M62838,7049,M62838 - Other muscle spasm
,Y,R202,7012,R202 - Paresthesia of skin
Y,,I481,7005,I481 - Persistent atrial fibrillation
,,M25572,6958,M25572 - Pain in left ankle and joints of left fo
,,M5442,6955,"M5442 - Lumbago with sciatica, left side"
,,M329,6952,"M329 - Systemic lupus erythematosus, unspecifie"
,,E11622,6939,E11622 - Type 2 diabetes mellitus with other skin
,Y,I2720,6900,"I2720 - Pulmonary hypertension, unspecified"
,,E878,6892,E878 - Other disorders of electrolyte and fluid
,,B1920,6881,B1920 - Unspecified viral hepatitis C without he
,Y,I493,6874,I493 - Ventricular premature depolarization
,,M1611,6869,"M1611 - Unilateral primary osteoarthritis, right"
,,H548,6865,"H548 - Legal blindness, as defined in USA"
,,Z96651,6846,Z96651 - Presence of right artificial knee joint
,,C7931,6823,C7931 - Secondary malignant neoplasm of brain
,,Z86718,6807,Z86718 - Personal history of other venous thrombo
,,I5043,6795,I5043 - Acute on chronic combined systolic (cong
,,Z0001,6776,Z0001 - Encounter for general adult medical exam
,,R413,6774,R413 - Other amnesia
,,C189,6758,"C189 - Malignant neoplasm of colon, unspecified"
,,I25810,6758,I25810 - Atherosclerosis of coronary artery bypas
,,E1149,6742,E1149 - Type 2 diabetes mellitus with other diab
,,I428,6726,I428 - Other cardiomyopathies
,,G301,6725,G301 - Alzheimer's disease with late onset
,,J329,6722,"J329 - Chronic sinusitis, unspecified"
,,G43909,6694,"G43909 - Migraine, unspecified, not intractable, "
,,E611,6667,E611 - Iron deficiency
,,Z1159,6641,Z1159 - Encounter for screening for other viral 
,,M722,6630,M722 - Plantar fascial fibromatosis
,,Z9889,6626,Z9889 - Other specified postprocedural states
,,Z01812,6541,Z01812 - Encounter for preprocedural laboratory e
,,Z0389,6535,Z0389 - Encounter for observation for other susp
,,C3412,6505,"C3412 - Malignant neoplasm of upper lobe, left b"
,,M179,6469,"M179 - Osteoarthritis of knee, unspecified"
,,E038,6456,E038 - Other specified hypothyroidism
,,M5030,6452,"M5030 - Other cervical disc degeneration, unspec"
,,N182,6449,"N182 - Chronic kidney disease, stage 2 (mild)"
Y,Y,I951,6436,I951 - Orthostatic hypotension
,,E11319,6433,E11319 - Type 2 diabetes mellitus with unspecifie
,,L309,6419,"L309 - Dermatitis, unspecified"
,,L299,6409,"L299 - Pruritus, unspecified"
,,G8918,6406,G8918 - Other acute postprocedural pain
,,F321,6400,"F321 - Major depressive disorder, single episod"
,,I5021,6375,I5021 - Acute systolic (congestive) heart failur
,,F73,6370,F73 - Profound intellectual disabilities
,,K625,6369,K625 - Hemorrhage of anus and rectum
,,Z7984,6361,Z7984 - Long term (current) use of oral hypoglyc
,,I700,6355,I700 - Atherosclerosis of aorta
,,Z6841,6353,"Z6841 - Body mass index (BMI) 40.0-44.9, adult"
,,I70213,6350,I70213 - Atherosclerosis of native arteries of ex
,,I679,6338,"I679 - Cerebrovascular disease, unspecified"
,,K921,6331,K921 - Melena
,,L0390,6322,"L0390 - Cellulitis, unspecified"
,,M9904,6305,M9904 - Segmental and somatic dysfunction of sac
,,E663,6300,E663 - Overweight
,,E8352,6290,E8352 - Hypercalcemia
,Y,I351,6288,I351 - Nonrheumatic aortic (valve) insufficienc
,,Z86010,6249,Z86010 - Personal history of colonic polyps
,,Z4682,6222,Z4682 - Encounter for fitting and adjustment of 
,,J9620,6182,"J9620 - Acute and chronic respiratory failure, u"
Y,,R0689,6087,R0689 - Other abnormalities of breathing
,,L89154,6076,"L89154 - Pressure ulcer of sacral region, stage 4"
,,Z96652,6067,Z96652 - Presence of left artificial knee joint
,,K3184,6066,K3184 - Gastroparesis
,,I82409,6065,I82409 - Acute embolism and thrombosis of unspeci
,,E8339,6059,E8339 - Other disorders of phosphorus metabolism
,,M4800,6057,"M4800 - Spinal stenosis, site unspecified"
,,F3181,6035,F3181 - Bipolar II disorder
,Y,R1032,6030,R1032 - Left lower quadrant pain
,Y,R200,6029,R200 - Anesthesia of skin
,,I361,6004,I361 - Nonrheumatic tricuspid (valve) insuffici
,,I5031,5985,I5031 - Acute diastolic (congestive) heart failu
,,M19012,5973,"M19012 - Primary osteoarthritis, left shoulder"
,,K635,5947,K635 - Polyp of colon
,,M6250,5910,"M6250 - Muscle wasting and atrophy, not elsewher"
Y,,E162,5881,"E162 - Hypoglycemia, unspecified"
,,N250,5877,N250 - Renal osteodystrophy
,,E11649,5872,E11649 - Type 2 diabetes mellitus with hypoglycem
Y,,R140,5852,R140 - Abdominal distension (gaseous)
,,Z853,5847,Z853 - Personal history of malignant neoplasm o
,,C20,5840,C20 - Malignant neoplasm of rectum
,,R590,5789,R590 - Localized enlarged lymph nodes
Y,,I200,5767,I200 - Unstable angina
,,J4520,5762,"J4520 - Mild intermittent asthma, uncomplicated"
Y,Y,R1031,5758,R1031 - Right lower quadrant pain
,,E8779,5747,E8779 - Other fluid overload
,,I270,5745,I270 - Primary pulmonary hypertension
Y,,J690,5727,J690 - Pneumonitis due to inhalation of food an
,,F39,5720,F39 - Unspecified mood [affective] disorder
,,F1420,5711,"F1420 - Cocaine dependence, uncomplicated"
,,N3000,5700,N3000 - Acute cystitis without hematuria
,,I7389,5694,I7389 - Other specified peripheral vascular dise
Y,Y,J45901,5661,J45901 - Unspecified asthma with (acute) exacerba
,,R102,5629,R102 - Pelvic and perineal pain
,,M1612,5620,"M1612 - Unilateral primary osteoarthritis, left "
,,I70203,5614,I70203 - Unspecified atherosclerosis of native ar
,,Z029,5589,Z029 - Encounter for administrative examination
,,F1220,5587,"F1220 - Cannabis dependence, uncomplicated"
,,D225,5586,D225 - Melanocytic nevi of trunk
,,Z85828,5575,Z85828 - Personal history of other malignant neop
,,R809,5572,"R809 - Proteinuria, unspecified"
,,F0151,5535,F0151 - Vascular dementia with behavioral distur
,,T8189XA,5523,"T8189XA - Other complications of procedures, not e"
