From plots,From ICD9,dx,n,desc
Y,Y,R109,97224,R109 - Unspecified abdominal pain
,,E1122,97217,E1122 - Type 2 diabetes mellitus with diabetic c
,,M5136,94983,"M5136 - Other intervertebral disc degeneration,"
,,N189,94695,"N189 - Chronic kidney disease, unspecified"
Y,Y,R0789,93948,R0789 - Other chest pain
,,F209,93053,"F209 - Schizophrenia, unspecified"
,,Z794,91856,Z794 - Long term (current) use of insulin
Y,Y,R600,90104,R600 - Localized edema
,,M25561,89855,M25561 - Pain in right knee
,,M5416,87861,"M5416 - Radiculopathy, lumbar region"
,,F319,87679,"F319 - Bipolar disorder, unspecified"
,,E780,87462,E780 - Pure hypercholesterolemia
,,F71,85499,F71 - Moderate intellectual disabilities
Y,Y,R918,85379,R918 - Other nonspecific abnormal finding of lu
Y,Y,R42,83181,R42 - Dizziness and giddiness
,,M069,81869,"M069 - Rheumatoid arthritis, unspecified"
Y,Y,R0902,80605,R0902 - Hypoxemia
Y,Y,R0600,79843,"R0600 - Dyspnea, unspecified"
,,G20,79549,G20 - Parkinson's disease
,,M25562,79378,M25562 - Pain in left knee
Y,,R9431,77925,R9431 - Abnormal electrocardiogram [ECG] [EKG]
,,M810,77343,M810 - Age-related osteoporosis without current
,,M9903,75908,M9903 - Segmental and somatic dysfunction of lum
,,Z87891,75533,Z87891 - Personal history of nicotine dependence
,,M25511,72881,M25511 - Pain in right shoulder
,,R2689,72012,R2689 - Other abnormalities of gait and mobility
,,I639,71819,"I639 - Cerebral infarction, unspecified"
,,I6789,71013,I6789 - Other cerebrovascular disease
Y,Y,R5383,70553,R5383 - Other fatigue
Y,Y,E876,70127,E876 - Hypokalemia
,,E109,68811,E109 - Type 1 diabetes mellitus without complic
,,Z5181,68699,Z5181 - Encounter for therapeutic drug level mon
,,F17200,68209,"F17200 - Nicotine dependence, unspecified, uncomp"
,,E11621,67884,E11621 - Type 2 diabetes mellitus with foot ulcer
,,C61,67111,C61 - Malignant neoplasm of prostate
,,N184,66533,"N184 - Chronic kidney disease, stage 4 (severe)"
,,R32,66037,R32 - Unspecified urinary incontinence
,,Z5111,65421,Z5111 - Encounter for antineoplastic chemotherap
Y,Y,I517,65394,I517 - Cardiomegaly
,,Z01818,63931,Z01818 - Encounter for other preprocedural examin
Y,Y,M549,63567,"M549 - Dorsalgia, unspecified"
Y,Y,R55,63520,R55 - Syncope and collapse
,,R269,63322,R269 - Unspecified abnormalities of gait and mo
Y,Y,R609,63262,"R609 - Edema, unspecified"
,,I872,62314,I872 - Venous insufficiency (chronic) (peripher
Y,Y,R51,62013,R51 - Headache
,,M9901,60458,M9901 - Segmental and somatic dysfunction of cer
,,M25512,60406,M25512 - Pain in left shoulder
,,E7800,60404,"E7800 - Pure hypercholesterolemia, unspecified"
,,I482,60366,I482 - Chronic atrial fibrillation
,,I350,60295,I350 - Nonrheumatic aortic (valve) stenosis
,,G35,60288,G35 - Multiple sclerosis
,,K5900,60280,"K5900 - Constipation, unspecified"
Y,Y,R112,58705,"R112 - Nausea with vomiting, unspecified"
,,M1711,57980,"M1711 - Unilateral primary osteoarthritis, right"
,,R99,57369,R99 - Ill-defined and unknown cause of mortali
,,I120,56673,I120 - Hypertensive chronic kidney disease with
,,M4806,56412,"M4806 - Spinal stenosis, lumbar region"
Y,Y,J90,56188,"J90 - Pleural effusion, not elsewhere classifi"
,,M159,55973,"M159 - Polyosteoarthritis, unspecified"
,,G4700,55919,"G4700 - Insomnia, unspecified"
,,I119,55619,I119 - Hypertensive heart disease without heart
Y,Y,J209,55439,"J209 - Acute bronchitis, unspecified"
,,F0280,55392,F0280 - Dementia in other diseases classified el
,,I340,55306,I340 - Nonrheumatic mitral (valve) insufficienc
,Y,A419,54803,"A419 - Sepsis, unspecified organism"
Y,Y,J439,54376,"J439 - Emphysema, unspecified"
,,M25551,54129,M25551 - Pain in right hip
Y,Y,E860,53867,E860 - Dehydration
Y,Y,E871,53422,E871 - Hypo-osmolality and hyponatremia
Y,Y,R4182,53235,"R4182 - Altered mental status, unspecified"
,,F332,53147,"F332 - Major depressive disorder, recurrent sev"
,,R1310,53116,"R1310 - Dysphagia, unspecified"
,,M1712,52993,"M1712 - Unilateral primary osteoarthritis, left"
,,E784,52952,E784 - Other hyperlipidemia
Y,Y,R5381,52314,R5381 - Other malaise
,,M47816,52021,M47816 - Spondylosis without myelopathy or radicu
,,Z7982,51546,Z7982 - Long term (current) use of aspirin
,,L570,51474,L570 - Actinic keratosis
,,R569,50778,R569 - Unspecified convulsions
,,M170,50762,M170 - Bilateral primary osteoarthritis of knee
,,M109,50588,"M109 - Gout, unspecified"
,,F72,50521,F72 - Severe intellectual disabilities
,,F259,49953,"F259 - Schizoaffective disorder, unspecified"
,,R197,49897,"R197 - Diarrhea, unspecified"
,,F200,48002,F200 - Paranoid schizophrenia
,,G629,47816,"G629 - Polyneuropathy, unspecified"
Y,,J069,47800,"J069 - Acute upper respiratory infection, unspe"
,,M25552,47687,M25552 - Pain in left hip
,,F4310,47161,"F4310 - Post-traumatic stress disorder, unspecif"
,,F339,47013,"F339 - Major depressive disorder, recurrent, un"
,,F1020,46951,"F1020 - Alcohol dependence, uncomplicated"
,Y,I252,46737,I252 - Old myocardial infarction
,Y,R002,46416,R002 - Palpitations
,,M7989,46401,M7989 - Other specified soft tissue disorders
Y,Y,R000,46096,"R000 - Tachycardia, unspecified"
,,H2513,46042,"H2513 - Age-related nuclear cataract, bilateral"
,,R2681,45642,R2681 - Unsteadiness on feet
,,G4730,45487,"G4730 - Sleep apnea, unspecified"
,,G40909,45269,"G40909 - Epilepsy, unspecified, not intractable,"
,,I890,45150,"I890 - Lymphedema, not elsewhere classified"
,,Z1231,45060,Z1231 - Encounter for screening mammogram for ma
,,M79674,43826,M79674 - Pain in right toe(s)
,,F250,43458,"F250 - Schizoaffective disorder, bipolar type"
,,E1121,43174,E1121 - Type 2 diabetes mellitus with diabetic n
,,N401,42670,N401 - Benign prostatic hyperplasia with lower
Y,Y,R110,42441,R110 - Nausea
,,M546,41812,M546 - Pain in thoracic spine
,,M79671,41656,M79671 - Pain in right foot
Y,Y,R509,41085,"R509 - Fever, unspecified"
Y,Y,J9811,40897,J9811 - Atelectasis
,,E1151,40313,E1151 - Type 2 diabetes mellitus with diabetic p
,,C9000,40278,C9000 - Multiple myeloma not having achieved rem
,,E875,40082,E875 - Hyperkalemia
,,M797,39808,M797 - Fibromyalgia
,,Z9181,39690,Z9181 - History of falling
Y,Y,D72829,39496,"D72829 - Elevated white blood cell count, unspeci"
,,E538,39153,E538 - Deficiency of other specified B group vi
,,Z79891,38920,Z79891 - Long term (current) use of opiate analge
,,J301,38848,J301 - Allergic rhinitis due to pollen
,,E291,38512,E291 - Testicular hypofunction
,,E1169,37718,E1169 - Type 2 diabetes mellitus with other spec
,,M5412,37692,"M5412 - Radiculopathy, cervical region"
,,Z950,37402,Z950 - Presence of cardiac pacemaker
Y,Y,R0609,37178,R0609 - Other forms of dyspnea
,,Z1211,36981,Z1211 - Encounter for screening for malignant ne
,,N400,36779,N400 - Benign prostatic hyperplasia without low
,,M9902,36241,M9902 - Segmental and somatic dysfunction of tho
,,M791,35575,M791 - Myalgia
,,N200,35553,N200 - Calculus of kidney
,,F73,35205,F73 - Profound intellectual disabilities
Y,,J9601,34974,J9601 - Acute respiratory failure with hypoxia
,,Z8673,34811,Z8673 - Personal history of transient ischemic a
,,D696,34684,"D696 - Thrombocytopenia, unspecified"
,,M5126,34578,"M5126 - Other intervertebral disc displacement,"
Y,Y,R1084,34348,R1084 - Generalized abdominal pain
Y,Y,L03115,34324,L03115 - Cellulitis of right lower limb
,,G8220,34313,"G8220 - Paraplegia, unspecified"
,,M47817,34307,M47817 - Spondylosis without myelopathy or radicu
,,J309,34236,"J309 - Allergic rhinitis, unspecified"
,,C7951,34192,C7951 - Secondary malignant neoplasm of bone
,,Z452,34175,Z452 - Encounter for adjustment and management
,,Z720,34016,Z720 - Tobacco use
,,R1312,33870,"R1312 - Dysphagia, oropharyngeal phase"
,,R001,33860,"R001 - Bradycardia, unspecified"
,,F341,33825,F341 - Dysthymic disorder
,,R339,33755,"R339 - Retention of urine, unspecified"
Y,,I429,33196,"I429 - Cardiomyopathy, unspecified"
,,H04123,32978,H04123 - Dry eye syndrome of bilateral lacrimal g
Y,Y,L03116,32902,L03116 - Cellulitis of left lower limb
Y,Y,J40,32719,"J40 - Bronchitis, not specified as acute or ch"
,,C3490,32626,C3490 - Malignant neoplasm of unspecified part o
,,Z5189,32479,Z5189 - Encounter for other specified aftercare
,,M79672,32461,M79672 - Pain in left foot
,,C50919,32449,C50919 - Malignant neoplasm of unspecified site o
,,Z471,32325,Z471 - Aftercare following joint replacement su
,,M47812,31953,M47812 - Spondylosis without myelopathy or radicu
,,K5730,31926,K5730 - Diverticulosis of large intestine withou
,,Z01810,31867,Z01810 - Encounter for preprocedural cardiovascul
,,D485,31815,D485 - Neoplasm of uncertain behavior of skin
,,I6350,31723,I6350 - Cerebral infarction due to unspecified o
,,I2699,31524,I2699 - Other pulmonary embolism without acute c
Y,Y,M79604,31406,M79604 - Pain in right leg
Y,Y,R1013,31403,R1013 - Epigastric pain
,,R52,31095,"R52 - Pain, unspecified"
,,R7989,31062,R7989 - Other specified abnormal findings of blo
,,Z961,31034,Z961 - Presence of intraocular lens
,,D689,30982,"D689 - Coagulation defect, unspecified"
,,I214,30830,I214 - Non-ST elevation (NSTEMI) myocardial inf
,,Z510,30655,Z510 - Encounter for antineoplastic radiation t
,,J3089,30605,J3089 - Other allergic rhinitis
,,I6523,30577,I6523 - Occlusion and stenosis of bilateral caro
Y,Y,J984,30574,J984 - Other disorders of lung
,,F0391,30431,F0391 - Unspecified dementia with behavioral dis
,,I499,30379,"I499 - Cardiac arrhythmia, unspecified"
,,G459,30254,"G459 - Transient cerebral ischemic attack, unsp"
,,F0281,29998,F0281 - Dementia in other diseases classified el
Y,Y,R0989,29724,R0989 - Other specified symptoms and signs invol
,,R296,29672,R296 - Repeated falls
,,K7460,29475,K7460 - Unspecified cirrhosis of liver
Y,Y,M79605,29382,M79605 - Pain in left leg
,,M5137,29277,"M5137 - Other intervertebral disc degeneration,"
Y,Y,I519,29153,"I519 - Heart disease, unspecified"
,,M79675,29153,M79675 - Pain in left toe(s)
,,E1129,28863,E1129 - Type 2 diabetes mellitus with other diab
,,N19,28573,N19 - Unspecified kidney failure
,,F29,28495,F29 - Unspecified psychosis not due to a subst
,,M179,28417,"M179 - Osteoarthritis of knee, unspecified"
,,M2550,28240,M2550 - Pain in unspecified joint
,,L600,28235,L600 - Ingrowing nail
Y,Y,E872,28154,E872 - Acidosis
,,Z951,28130,Z951 - Presence of aortocoronary bypass graft
,,E1065,27682,E1065 - Type 1 diabetes mellitus with hyperglyce
Y,Y,I959,27651,"I959 - Hypotension, unspecified"
,,B20,27555,B20 - Human immunodeficiency virus [HIV] disea
Y,Y,R911,27434,R911 - Solitary pulmonary nodule
,,D500,27071,D500 - Iron deficiency anemia secondary to bloo
,,R300,26914,R300 - Dysuria
,,Z0289,26877,Z0289 - Encounter for other administrative exami
,,G809,26727,"G809 - Cerebral palsy, unspecified"
,,I6990,26536,I6990 - Unspecified sequelae of unspecified cere
,,R350,26334,R350 - Frequency of micturition
,Y,I259,26264,"I259 - Chronic ischemic heart disease, unspecif"
,,L821,26239,L821 - Other seborrheic keratosis
,,D62,26203,D62 - Acute posthemorrhagic anemia
,,L84,26183,L84 - Corns and callosities
,,H548,26119,"H548 - Legal blindness, as defined in USA"
,,F0150,26028,F0150 - Vascular dementia without behavioral dis
,,K449,25991,K449 - Diaphragmatic hernia without obstruction
,,F1010,25604,"F1010 - Alcohol abuse, uncomplicated"
,Y,J9610,25594,"J9610 - Chronic respiratory failure, unspecified"
,,J0190,25488,"J0190 - Acute sinusitis, unspecified"
,,H409,25406,H409 - Unspecified glaucoma
,,Z940,25355,Z940 - Kidney transplant status
,,I495,25343,I495 - Sick sinus syndrome
,,N289,25016,"N289 - Disorder of kidney and ureter, unspecifi"
,,R634,24793,R634 - Abnormal weight loss
,,M5417,24714,"M5417 - Radiculopathy, lumbosacral region"
,,G8250,24686,"G8250 - Quadriplegia, unspecified"
,,Z952,24666,Z952 - Presence of prosthetic heart valve
,,K922,24631,"K922 - Gastrointestinal hemorrhage, unspecified"
,,F418,24335,F418 - Other specified anxiety disorders
,,I679,24241,"I679 - Cerebrovascular disease, unspecified"
,,G2581,24152,G2581 - Restless legs syndrome
,,F330,24124,"F330 - Major depressive disorder, recurrent, mi"
,,R279,24001,R279 - Unspecified lack of coordination
,,B182,23997,B182 - Chronic viral hepatitis C
,,Z008,23954,Z008 - Encounter for other general examination
,,M4802,23778,"M4802 - Spinal stenosis, cervical region"
,,H903,23613,"H903 - Sensorineural hearing loss, bilateral"
,,Z955,23351,Z955 - Presence of coronary angioplasty implant
Y,,E8342,23283,E8342 - Hypomagnesemia
,,N185,23199,"N185 - Chronic kidney disease, stage 5"
,,F333,23029,"F333 - Major depressive disorder, recurrent, se"
,,F4323,22938,F4323 - Adjustment disorder with mixed anxiety a
Y,Y,J9600,22727,"J9600 - Acute respiratory failure, unspecified w"
Y,,G9340,22706,"G9340 - Encephalopathy, unspecified"
,,N281,22576,"N281 - Cyst of kidney, acquired"
,,R278,22553,R278 - Other lack of coordination
,,H524,22471,H524 - Presbyopia
Y,Y,J440,22268,J440 - Chronic obstructive pulmonary disease wi
Y,,R739,22148,"R739 - Hyperglycemia, unspecified"
,,M461,22032,"M461 - Sacroiliitis, not elsewhere classified"
,,R319,21966,"R319 - Hematuria, unspecified"
,,G609,21955,"G609 - Hereditary and idiopathic neuropathy, un"
,,R030,21653,"R030 - Elevated blood-pressure reading, without"
,,J029,21339,"J029 - Acute pharyngitis, unspecified"
,,M961,21270,"M961 - Postlaminectomy syndrome, not elsewhere"
,,E1159,21250,E1159 - Type 2 diabetes mellitus with other circ
Y,,K529,21239,K529 - Noninfective gastroenteritis and colitis
,,M4800,21170,"M4800 - Spinal stenosis, site unspecified"
,,Z01419,21120,Z01419 - Encounter for gynecological examination
,,R21,21022,R21 - Rash and other nonspecific skin eruption
,,E46,21016,E46 - Unspecified protein-calorie malnutrition
,Y,I209,21011,"I209 - Angina pectoris, unspecified"
,,I471,20764,I471 - Supraventricular tachycardia
,,E139,20581,E139 - Other specified diabetes mellitus withou
,,I69354,20560,I69354 - Hemiplegia and hemiparesis following cer
,,R413,20488,R413 - Other amnesia
,,I69951,20422,I69951 - Hemiplegia and hemiparesis following uns
,Y,I25119,20361,I25119 - Atherosclerotic heart disease of native
,,I4892,20346,I4892 - Unspecified atrial flutter
Y,Y,R072,20304,R072 - Precordial pain
,,N319,20263,"N319 - Neuromuscular dysfunction of bladder, un"
,,Z09,20240,Z09 - Encounter for follow-up examination afte
,,K210,20186,K210 - Gastro-esophageal reflux disease with es
,,S0990XA,20153,"S0990XA - Unspecified injury of head, initial enco"
,,F410,20145,F410 - Panic disorder [episodic paroxysmal anxi
Y,,J4520,20042,"J4520 - Mild intermittent asthma, uncomplicated"
,,I351,19963,I351 - Nonrheumatic aortic (valve) insufficienc
,,H3532,19956,H3532 - Exudative age-related macular degenerati
Y,,D638,19932,D638 - Anemia in other chronic diseases classif
,,F3181,19896,F3181 - Bipolar II disorder
,,I481,19892,I481 - Persistent atrial fibrillation
,,Z9889,19852,Z9889 - Other specified postprocedural states
,,F251,19821,"F251 - Schizoaffective disorder, depressive typ"
,,Z98890,19748,Z98890 - Other specified postprocedural states
,,M329,19657,"M329 - Systemic lupus erythematosus, unspecifie"
,,E038,19621,E038 - Other specified hypothyroidism
,,M5441,19603,"M5441 - Lumbago with sciatica, right side"
,,H6123,19504,"H6123 - Impacted cerumen, bilateral"
,,Z4789,19419,Z4789 - Encounter for other orthopedic aftercare
,,I493,19367,I493 - Ventricular premature depolarization
Y,Y,R062,19351,R062 - Wheezing
,,K760,19328,"K760 - Fatty (change of) liver, not elsewhere c"
,,D508,19317,D508 - Other iron deficiency anemias
,,Z853,19285,Z853 - Personal history of malignant neoplasm o
,,Z96651,19261,Z96651 - Presence of right artificial knee joint
,,H3531,19034,H3531 - Nonexudative age-related macular degener
Y,Y,J45901,18996,J45901 - Unspecified asthma with (acute) exacerba
,,M25569,18926,M25569 - Pain in unspecified knee
,,Z6841,18874,"Z6841 - Body mass index (BMI) 40.0-44.9, adult"
,,Z125,18788,Z125 - Encounter for screening for malignant ne
,,G3184,18671,"G3184 - Mild cognitive impairment, so stated"
,,M5134,18593,"M5134 - Other intervertebral disc degeneration,"
,Y,I272,18516,I272 - Other secondary pulmonary hypertension
,,M1611,18460,"M1611 - Unilateral primary osteoarthritis, right"
,,M5030,18402,"M5030 - Other cervical disc degeneration, unspec"
,Y,I255,18325,I255 - Ischemic cardiomyopathy
,Y,K8020,18286,K8020 - Calculus of gallbladder without cholecys
,,M25571,18235,M25571 - Pain in right ankle and joints of right
,,I472,18216,I472 - Ventricular tachycardia
,Y,J329,18157,"J329 - Chronic sinusitis, unspecified"
,,W19XXXA,18126,"W19XXXA - Unspecified fall, initial encounter"
,,M19011,18075,"M19011 - Primary osteoarthritis, right shoulder"
,,I69351,18046,I69351 - Hemiplegia and hemiparesis following cer
,,C189,18043,"C189 - Malignant neoplasm of colon, unspecified"
,Y,I25110,17986,I25110 - Atherosclerotic heart disease of native
,,R293,17960,R293 - Abnormal posture
Y,,J8410,17910,"J8410 - Pulmonary fibrosis, unspecified"
,,M48061,17899,"M48061 - Spinal stenosis, lumbar region without n"
,,M722,17873,M722 - Plantar fascial fibromatosis
,,N182,17819,"N182 - Chronic kidney disease, stage 2 (mild)"
Y,,R188,17684,R188 - Other ascites
,,I714,17593,"I714 - Abdominal aortic aneurysm, without ruptu"
,,J9611,17569,J9611 - Chronic respiratory failure with hypoxia
,,M25572,17530,M25572 - Pain in left ankle and joints of left fo
Y,,R410,17492,"R410 - Disorientation, unspecified"
,,Z96652,17461,Z96652 - Presence of left artificial knee joint
,,R7309,17452,R7309 - Other abnormal glucose
,Y,R011,17443,"R011 - Cardiac murmur, unspecified"
Y,Y,R1011,17442,R1011 - Right upper quadrant pain
,,G43909,17384,"G43909 - Migraine, unspecified, not intractable,"
,,I82409,17329,I82409 - Acute embolism and thrombosis of unspeci
Y,Y,K2970,17327,"K2970 - Gastritis, unspecified, without bleeding"
,,M62838,17310,M62838 - Other muscle spasm
,Y,L0390,17238,"L0390 - Cellulitis, unspecified"
,,F321,17135,"F321 - Major depressive disorder, single episod"
Y,,L309,16953,"L309 - Dermatitis, unspecified"
,,M62830,16785,M62830 - Muscle spasm of back
,,R748,16733,R748 - Abnormal levels of other serum enzymes
,,M5442,16725,"M5442 - Lumbago with sciatica, left side"
,,C50912,16698,C50912 - Malignant neoplasm of unspecified site o
,,Z86718,16690,Z86718 - Personal history of other venous thrombo
,,M869,16668,"M869 - Osteomyelitis, unspecified"
,,N3941,16508,N3941 - Urge incontinence
,,R202,16317,R202 - Paresthesia of skin
,,M5116,16297,M5116 - Intervertebral disc disorders with radic
,,Z170,16230,Z170 - Estrogen receptor positive status [ER+]
,,E1149,16152,E1149 - Type 2 diabetes mellitus with other diab
,,C3411,16026,"C3411 - Malignant neoplasm of upper lobe, right"
,,Q909,15982,"Q909 - Down syndrome, unspecified"
,,G710,15928,G710 - Muscular dystrophy
,,E663,15897,E663 - Overweight
Y,,R1110,15768,"R1110 - Vomiting, unspecified"
,,D469,15739,"D469 - Myelodysplastic syndrome, unspecified"
,,R29898,15727,R29898 - Other symptoms and signs involving the m
,,R7881,15680,R7881 - Bacteremia
,,I361,15671,I361 - Nonrheumatic tricuspid (valve) insuffici
,,E6609,15520,E6609 - Other obesity due to excess calories
,,F39,15487,F39 - Unspecified mood [affective] disorder
,,C679,15471,"C679 - Malignant neoplasm of bladder, unspecifi"
Y,Y,J9690,15331,"J9690 - Respiratory failure, unspecified, unspec"
,,C787,15315,C787 - Secondary malignant neoplasm of liver an
,,C50911,15285,C50911 - Malignant neoplasm of unspecified site o
Y,,G9341,15080,G9341 - Metabolic encephalopathy
,,R809,15038,"R809 - Proteinuria, unspecified"
,,I7389,15033,I7389 - Other specified peripheral vascular dise
,,Z20828,15023,Z20828 - Contact with and (suspected) exposure to
,,G8918,14979,G8918 - Other acute postprocedural pain
,Y,I25118,14972,I25118 - Atherosclerotic heart disease of native
,,M1612,14958,"M1612 - Unilateral primary osteoarthritis, left"
,,L97512,14950,L97512 - Non-pressure chronic ulcer of other part
,,Z86010,14814,Z86010 - Personal history of colonic polyps
,,D869,14772,"D869 - Sarcoidosis, unspecified"
,,F068,14760,F068 - Other specified mental disorders due to
,,K625,14746,K625 - Hemorrhage of anus and rectum
,,Z85828,14682,Z85828 - Personal history of other malignant neop
,,Z0001,14666,Z0001 - Encounter for general adult medical exam
Y,Y,J849,14627,"J849 - Interstitial pulmonary disease, unspecif"
,Y,J45998,14598,J45998 - Other asthma
,,I700,14588,I700 - Atherosclerosis of aorta
,,H3530,14499,H3530 - Unspecified macular degeneration
,,M9904,14493,M9904 - Segmental and somatic dysfunction of sac
,,B1920,14488,B1920 - Unspecified viral hepatitis C without he
Y,Y,R0689,14426,R0689 - Other abnormalities of breathing
,,R590,14382,R590 - Localized enlarged lymph nodes
,,I213,14369,I213 - ST elevation (STEMI) myocardial infarcti
,,H2511,14368,"H2511 - Age-related nuclear cataract, right eye"
,,M19012,14299,"M19012 - Primary osteoarthritis, left shoulder"
,,H2512,14292,"H2512 - Age-related nuclear cataract, left eye"
,,Z01812,14237,Z01812 - Encounter for preprocedural laboratory e
,,Z4682,14200,Z4682 - Encounter for fitting and adjustment of
,,J302,14180,J302 - Other seasonal allergic rhinitis
Y,Y,J9621,14124,J9621 - Acute and chronic respiratory failure wi
,,N3000,14061,N3000 - Acute cystitis without hematuria
,,Z743,14055,Z743 - Need for continuous supervision
Y,Y,L03119,14030,L03119 - Cellulitis of unspecified part of limb
,,M4316,14010,"M4316 - Spondylolisthesis, lumbar region"
,,K921,13990,K921 - Melena
,,G5601,13983,"G5601 - Carpal tunnel syndrome, right upper limb"
,,L299,13957,"L299 - Pruritus, unspecified"
,,F4312,13896,"F4312 - Post-traumatic stress disorder, chronic"
,,R102,13876,R102 - Pelvic and perineal pain
,,M25519,13873,M25519 - Pain in unspecified shoulder
,,I447,13859,"I447 - Left bundle-branch block, unspecified"
Y,Y,I270,13858,I270 - Primary pulmonary hypertension
,,E11622,13833,E11622 - Type 2 diabetes mellitus with other skin
,,E041,13816,E041 - Nontoxic single thyroid nodule
,,I70203,13749,I70203 - Unspecified atherosclerosis of native ar
,,F1420,13742,"F1420 - Cocaine dependence, uncomplicated"
,,F603,13698,F603 - Borderline personality disorder
,,E042,13630,E042 - Nontoxic multinodular goiter
Y,,Z9981,13523,Z9981 - Dependence on supplemental oxygen
Y,,R140,13476,R140 - Abdominal distension (gaseous)
Y,Y,I951,13463,I951 - Orthostatic hypotension
Y,Y,R1032,13448,R1032 - Left lower quadrant pain
,,L820,13413,L820 - Inflamed seborrheic keratosis
,,L97522,13399,L97522 - Non-pressure chronic ulcer of other part
,,K635,13328,K635 - Polyp of colon
,,I70213,13319,I70213 - Atherosclerosis of native arteries of ex
,,K3184,13288,K3184 - Gastroparesis
,,I6529,13286,I6529 - Occlusion and stenosis of unspecified ca
,,R310,13274,R310 - Gross hematuria
,,D472,13262,D472 - Monoclonal gammopathy
,,H25813,13258,"H25813 - Combined forms of age-related cataract,"
,,R351,13256,R351 - Nocturia
,,H40013,13241,"H40013 - Open angle with borderline findings, low"
Y,,E43,13237,E43 - Unspecified severe protein-calorie malnu
,,G301,13151,G301 - Alzheimer's disease with late onset
,,Z0389,13043,Z0389 - Encounter for observation for other susp
,,I69954,13022,I69954 - Hemiplegia and hemiparesis following uns
Y,,I428,12987,I428 - Other cardiomyopathies
,,M0579,12987,M0579 - Rheumatoid arthritis with rheumatoid fac
,,R200,12927,R200 - Anesthesia of skin
,,Z7984,12839,Z7984 - Long term (current) use of oral hypoglyc
Y,,E8770,12816,"E8770 - Fluid overload, unspecified"
,,H43813,12771,"H43813 - Vitreous degeneration, bilateral"
