FROM ICD 9,From ICD10,dx,n,desc
,,I480,11108,I480 - Paroxysmal atrial fibrillation
,,E6601,11073,E6601 - Morbid (severe) obesity due to excess ca
Y,Y,R5383,10966,R5383 - Other fatigue
,,R1310,10779,"R1310 - Dysphagia, unspecified"
,,F331,10615,"F331 - Major depressive disorder, recurrent, mo"
,,M069,10584,"M069 - Rheumatoid arthritis, unspecified"
,,N2581,10509,N2581 - Secondary hyperparathyroidism of renal o
,,E669,10486,"E669 - Obesity, unspecified"
,,Z1231,10465,Z1231 - Encounter for screening mammogram for ma
,,M9901,10434,M9901 - Segmental and somatic dysfunction of cer
,,M25561,10332,M25561 - Pain in right knee
Y,Y,R42,10317,R42 - Dizziness and giddiness
,,I129,9970,I129 - Hypertensive chronic kidney disease with
,,C7801,9904,C7801 - Secondary malignant neoplasm of right lu
,,F319,9777,"F319 - Bipolar disorder, unspecified"
Y,Y,J209,9625,"J209 - Acute bronchitis, unspecified"
Y,,M25512,9573,M25512 - Pain in left shoulder
,,M25562,9221,M25562 - Pain in left knee
Y,Y,M549,9196,"M549 - Dorsalgia, unspecified"
,,F1020,9128,"F1020 - Alcohol dependence, uncomplicated"
,,M810,9114,M810 - Age-related osteoporosis without current
,Y,R112,8994,"R112 - Nausea with vomiting, unspecified"
,Y,R9431,8916,R9431 - Abnormal electrocardiogram [ECG] [EKG]
,,L570,8770,L570 - Actinic keratosis
,,E7800,8631,"E7800 - Pure hypercholesterolemia, unspecified"
,,N179,8631,"N179 - Acute kidney failure, unspecified"
Y,Y,E871,8479,E871 - Hypo-osmolality and hyponatremia
Y,Y,J9811,8433,J9811 - Atelectasis
Y,Y,R51,8430,R51 - Headache
,,C801,8429,"C801 - Malignant (primary) neoplasm, unspecifie"
,Y,E860,8325,E860 - Dehydration
,,C7802,8273,C7802 - Secondary malignant neoplasm of left lun
,,G309,8009,"G309 - Alzheimer's disease, unspecified"
,,E1140,8006,E1140 - Type 2 diabetes mellitus with diabetic n
Y,Y,E876,8002,E876 - Hypokalemia
,,K5900,7927,"K5900 - Constipation, unspecified"
Y,Y,M546,7927,M546 - Pain in thoracic spine
,,Z5181,7908,Z5181 - Encounter for therapeutic drug level mon
Y,Y,R634,7834,R634 - Abnormal weight loss
Y,,M25551,7823,M25551 - Pain in right hip
,,E118,7765,E118 - Type 2 diabetes mellitus with unspecifie
,,E1142,7734,E1142 - Type 2 diabetes mellitus with diabetic p
,,Z1211,7557,Z1211 - Encounter for screening for malignant ne
,,Z853,7552,Z853 - Personal history of malignant neoplasm o
,,G629,7466,"G629 - Polyneuropathy, unspecified"
,,C50912,7382,C50912 - Malignant neoplasm of unspecified site o
,,N189,7375,"N189 - Chronic kidney disease, unspecified"
,,C50911,7344,C50911 - Malignant neoplasm of unspecified site o
Y,,M25552,7200,M25552 - Pain in left hip
Y,Y,J069,7138,"J069 - Acute upper respiratory infection, unspe"
Y,,M47816,7124,M47816 - Spondylosis without myelopathy or radicu
,,F1010,7042,"F1010 - Alcohol abuse, uncomplicated"
,,E1122,7013,E1122 - Type 2 diabetes mellitus with diabetic c
,,G4700,6964,"G4700 - Insomnia, unspecified"
,,H2513,6957,"H2513 - Age-related nuclear cataract, bilateral"
,,R2689,6945,R2689 - Other abnormalities of gait and mobility
,,I639,6891,"I639 - Cerebral infarction, unspecified"
,,M1711,6879,"M1711 - Unilateral primary osteoarthritis, right"
,,Z7982,6839,Z7982 - Long term (current) use of aspirin
Y,Y,R110,6793,R110 - Nausea
,,M5412,6770,"M5412 - Radiculopathy, cervical region"
,,M9902,6757,M9902 - Segmental and somatic dysfunction of tho
,,Z170,6726,Z170 - Estrogen receptor positive status [ER+]
,,Z452,6700,Z452 - Encounter for adjustment and management 
,,R197,6662,"R197 - Diarrhea, unspecified"
Y,Y,R600,6553,R600 - Localized edema
,,I110,6538,I110 - Hypertensive heart disease with heart fa
Y,,I252,6499,I252 - Old myocardial infarction
Y,,R569,6418,R569 - Unspecified convulsions
,,F332,6361,"F332 - Major depressive disorder, recurrent sev"
Y,Y,R55,6313,R55 - Syncope and collapse
,,M109,6311,"M109 - Gout, unspecified"
,,D485,6291,D485 - Neoplasm of uncertain behavior of skin
,,N401,6287,N401 - Benign prostatic hyperplasia with lower 
,,M1712,6266,"M1712 - Unilateral primary osteoarthritis, left "
,,J301,6207,J301 - Allergic rhinitis due to pollen
Y,Y,M4806,6159,"M4806 - Spinal stenosis, lumbar region"
Y,Y,J9601,6154,J9601 - Acute respiratory failure with hypoxia
,,E784,6074,E784 - Other hyperlipidemia
,,I482,6073,I482 - Chronic atrial fibrillation
,,R32,6070,R32 - Unspecified urinary incontinence
Y,Y,K5730,6055,K5730 - Diverticulosis of large intestine withou
Y,Y,C7931,5937,C7931 - Secondary malignant neoplasm of brain
,,Z01810,5937,Z01810 - Encounter for preprocedural cardiovascul
,,Z79891,5921,Z79891 - Long term (current) use of opiate analge
,,A419,5906,"A419 - Sepsis, unspecified organism"
Y,Y,I517,5882,I517 - Cardiomegaly
Y,Y,J440,5882,J440 - Chronic obstructive pulmonary disease wi
,,C50412,5881,C50412 - Malignant neoplasm of upper-outer quadra
Y,Y,J40,5703,"J40 - Bronchitis, not specified as acute or ch"
,,C187,5700,C187 - Malignant neoplasm of sigmoid colon
,,C7989,5684,C7989 - Secondary malignant neoplasm of other sp
Y,Y,R5381,5677,R5381 - Other malaise
,,R269,5583,R269 - Unspecified abnormalities of gait and mo
,,C679,5560,"C679 - Malignant neoplasm of bladder, unspecifi"
Y,Y,R000,5559,"R000 - Tachycardia, unspecified"
Y,Y,R222,5535,"R222 - Localized swelling, mass and lump, trunk"
Y,Y,D72829,5487,"D72829 - Elevated white blood cell count, unspeci"
,,C499,5477,C499 - Malignant neoplasm of connective and sof
,,F4310,5474,"F4310 - Post-traumatic stress disorder, unspecif"
,,E538,5376,E538 - Deficiency of other specified B group vi
,,N400,5369,N400 - Benign prostatic hyperplasia without low
Y,Y,R938,5353,R938 - Abnormal findings on diagnostic imaging 
,,Z794,5349,Z794 - Long term (current) use of insulin
Y,Y,R509,5320,"R509 - Fever, unspecified"
Y,Y,J432,5313,J432 - Centrilobular emphysema
,,C50411,5253,C50411 - Malignant neoplasm of upper-outer quadra
,,F259,5231,"F259 - Schizoaffective disorder, unspecified"
,,R99,5219,R99 - Ill-defined and unknown cause of mortali
,,J309,5167,"J309 - Allergic rhinitis, unspecified"
,,G40909,5065,"G40909 - Epilepsy, unspecified, not intractable, "
,,I6523,5016,I6523 - Occlusion and stenosis of bilateral caro
Y,Y,R0609,5002,R0609 - Other forms of dyspnea
,,Z5112,4993,Z5112 - Encounter for antineoplastic immunothera
,,C770,4950,C770 - Secondary and unspecified malignant neop
,,F341,4936,F341 - Dysthymic disorder
Y,Y,R4182,4924,"R4182 - Altered mental status, unspecified"
Y,Y,I2699,4920,I2699 - Other pulmonary embolism without acute c
Y,,N200,4911,N200 - Calculus of kidney
,,J3089,4904,J3089 - Other allergic rhinitis
Y,,M7989,4881,M7989 - Other specified soft tissue disorders
,,F200,4840,F200 - Paranoid schizophrenia
,,M5137,4815,"M5137 - Other intervertebral disc degeneration, "
Y,,I6789,4785,I6789 - Other cerebrovascular disease
,,M79671,4778,M79671 - Pain in right foot
Y,Y,R1084,4776,R1084 - Generalized abdominal pain
,,I714,4773,"I714 - Abdominal aortic aneurysm, without ruptu"
,,Z01419,4760,Z01419 - Encounter for gynecological examination 
,,I429,4746,"I429 - Cardiomyopathy, unspecified"
Y,,M47812,4743,M47812 - Spondylosis without myelopathy or radicu
,,F250,4742,"F250 - Schizoaffective disorder, bipolar type"
,,L821,4740,L821 - Other seborrheic keratosis
,,G35,4711,G35 - Multiple sclerosis
,,C649,4708,C649 - Malignant neoplasm of unspecified kidney
Y,,M5126,4700,"M5126 - Other intervertebral disc displacement, "
Y,Y,R002,4681,R002 - Palpitations
,,C159,4675,"C159 - Malignant neoplasm of esophagus, unspeci"
,,N184,4668,"N184 - Chronic kidney disease, stage 4 (severe)"
,,M791,4637,M791 - Myalgia
Y,,M47817,4631,M47817 - Spondylosis without myelopathy or radicu
Y,Y,R1013,4617,R1013 - Epigastric pain
Y,Y,I340,4606,I340 - Nonrheumatic mitral (valve) insufficienc
,,M79674,4514,M79674 - Pain in right toe(s)
,,C541,4504,C541 - Malignant neoplasm of endometrium
,,Z98890,4487,Z98890 - Other specified postprocedural states
,,D696,4441,"D696 - Thrombocytopenia, unspecified"
,,I119,4427,I119 - Hypertensive heart disease without heart
,,H04123,4395,H04123 - Dry eye syndrome of bilateral lacrimal g
,,M170,4380,M170 - Bilateral primary osteoarthritis of knee
,,N281,4348,"N281 - Cyst of kidney, acquired"
,,E109,4332,E109 - Type 1 diabetes mellitus without complic
,,G893,4294,G893 - Neoplasm related pain (acute) (chronic)
,,R7989,4288,R7989 - Other specified abnormal findings of blo
Y,Y,R042,4279,R042 - Hemoptysis
Y,Y,J0190,4248,"J0190 - Acute sinusitis, unspecified"
,,R339,4202,"R339 - Retention of urine, unspecified"
Y,Y,K449,4162,K449 - Diaphragmatic hernia without obstruction
,,I5032,4153,I5032 - Chronic diastolic (congestive) heart fai
,,D701,4149,D701 - Agranulocytosis secondary to cancer chem
Y,,R0989,4148,R0989 - Other specified symptoms and signs invol
,,I872,4112,I872 - Venous insufficiency (chronic) (peripher
Y,,M159,4112,"M159 - Polyosteoarthritis, unspecified"
,,M5417,4097,"M5417 - Radiculopathy, lumbosacral region"
,,C73,4086,C73 - Malignant neoplasm of thyroid gland
,,R2681,4083,R2681 - Unsteadiness on feet
,,Z5189,4077,Z5189 - Encounter for other specified aftercare
,,I5022,4074,I5022 - Chronic systolic (congestive) heart fail
,,F418,4067,F418 - Other specified anxiety disorders
,,F339,4052,"F339 - Major depressive disorder, recurrent, un"
,,Z0289,4052,Z0289 - Encounter for other administrative exami
,,C760,4039,"C760 - Malignant neoplasm of head, face and nec"
Y,Y,R609,4002,"R609 - Edema, unspecified"
,,M79672,3982,M79672 - Pain in left foot
,,I6990,3962,I6990 - Unspecified sequelae of unspecified cere
Y,Y,R52,3956,"R52 - Pain, unspecified"
,,Z471,3953,Z471 - Aftercare following joint replacement su
,,M79604,3899,M79604 - Pain in right leg
,,D500,3857,D500 - Iron deficiency anemia secondary to bloo
,,C569,3850,C569 - Malignant neoplasm of unspecified ovary
,,Z961,3835,Z961 - Presence of intraocular lens
Y,Y,J9611,3774,J9611 - Chronic respiratory failure with hypoxia
Y,,M2550,3774,M2550 - Pain in unspecified joint
Y,Y,J8410,3764,"J8410 - Pulmonary fibrosis, unspecified"
,,C641,3759,"C641 - Malignant neoplasm of right kidney, exce"
,,C329,3757,"C329 - Malignant neoplasm of larynx, unspecifie"
,,F0280,3734,F0280 - Dementia in other diseases classified el
,,R1312,3733,"R1312 - Dysphagia, oropharyngeal phase"
,,I890,3730,"I890 - Lymphedema, not elsewhere classified"
,,E041,3716,E041 - Nontoxic single thyroid nodule
,,H903,3715,"H903 - Sensorineural hearing loss, bilateral"
Y,Y,J9600,3705,"J9600 - Acute respiratory failure, unspecified w"
Y,Y,J181,3690,"J181 - Lobar pneumonia, unspecified organism"
,,Z9889,3685,Z9889 - Other specified postprocedural states
Y,,G4730,3667,"G4730 - Sleep apnea, unspecified"
,,Z08,3667,Z08 - Encounter for follow-up examination afte
,,F70,3635,F70 - Mild intellectual disabilities
,,G20,3630,G20 - Parkinson's disease
Y,,J029,3630,"J029 - Acute pharyngitis, unspecified"
,,E8342,3623,E8342 - Hypomagnesemia
,,M79605,3623,M79605 - Pain in left leg
,,M797,3578,M797 - Fibromyalgia
,,E875,3577,E875 - Hyperkalemia
,,R300,3558,R300 - Dysuria
,,Z01812,3558,Z01812 - Encounter for preprocedural laboratory e
,,M179,3547,"M179 - Osteoarthritis of knee, unspecified"
,,R319,3533,"R319 - Hematuria, unspecified"
,,E291,3527,E291 - Testicular hypofunction
,,C321,3526,C321 - Malignant neoplasm of supraglottis
,,B1920,3525,B1920 - Unspecified viral hepatitis C without he
,,Z8673,3512,Z8673 - Personal history of transient ischemic a
Y,Y,R062,3510,R062 - Wheezing
,,Z86010,3503,Z86010 - Personal history of colonic polyps
,,C01,3499,C01 - Malignant neoplasm of base of tongue
,,C155,3479,C155 - Malignant neoplasm of lower third of eso
,,D62,3448,D62 - Acute posthemorrhagic anemia
Y,Y,R221,3448,"R221 - Localized swelling, mass and lump, neck"
,,R350,3423,R350 - Frequency of micturition
,,Z09,3421,Z09 - Encounter for follow-up examination afte
Y,Y,I959,3416,"I959 - Hypotension, unspecified"
,,B182,3414,B182 - Chronic viral hepatitis C
,,Z85828,3387,Z85828 - Personal history of other malignant neop
,,F4323,3374,F4323 - Adjustment disorder with mixed anxiety a
,,Z171,3374,Z171 - Estrogen receptor negative status [ER-]
,,B20,3371,B20 - Human immunodeficiency virus [HIV] disea
,,C9000,3369,C9000 - Multiple myeloma not having achieved rem
Y,Y,R001,3367,"R001 - Bradycardia, unspecified"
Y,Y,I350,3358,I350 - Nonrheumatic aortic (valve) stenosis
,Y,J9621,3357,J9621 - Acute and chronic respiratory failure wi
,,I700,3317,I700 - Atherosclerosis of aorta
Y,Y,J9610,3310,"J9610 - Chronic respiratory failure, unspecified"
,Y,K922,3284,"K922 - Gastrointestinal hemorrhage, unspecified"
,,F71,3282,F71 - Moderate intellectual disabilities
,,K7460,3258,K7460 - Unspecified cirrhosis of liver
,,I6350,3257,I6350 - Cerebral infarction due to unspecified o
,,L600,3249,L600 - Ingrowing nail
Y,Y,K8020,3245,K8020 - Calculus of gallbladder without cholecys
Y,Y,I259,3239,"I259 - Chronic ischemic heart disease, unspecif"
,,H524,3228,H524 - Presbyopia
,,Z933,3222,Z933 - Colostomy status
,,Z9221,3220,Z9221 - Personal history of antineoplastic chemo
,,C19,3213,C19 - Malignant neoplasm of rectosigmoid junct
,,C799,3197,C799 - Secondary malignant neoplasm of unspecif
,,H548,3197,"H548 - Legal blindness, as defined in USA"
,,Z9181,3196,Z9181 - History of falling
,,K635,3189,K635 - Polyp of colon
,,K760,3189,"K760 - Fatty (change of) liver, not elsewhere c"
,,I255,3186,I255 - Ischemic cardiomyopathy
,,Z125,3177,Z125 - Encounter for screening for malignant ne
Y,Y,J329,3150,"J329 - Chronic sinusitis, unspecified"
,,Z950,3146,Z950 - Presence of cardiac pacemaker
,,C099,3143,"C099 - Malignant neoplasm of tonsil, unspecifie"
,,M62830,3141,M62830 - Muscle spasm of back
,,M461,3136,"M461 - Sacroiliitis, not elsewhere classified"
,,C419,3126,C419 - Malignant neoplasm of bone and articular
,,C439,3114,"C439 - Malignant melanoma of skin, unspecified"
Y,,I519,3103,"I519 - Heart disease, unspecified"
Y,Y,R599,3099,"R599 - Enlarged lymph nodes, unspecified"
,,Z85038,3086,Z85038 - Personal history of other malignant neop
,,R030,3079,"R030 - Elevated blood-pressure reading, without"
,,C642,3074,"C642 - Malignant neoplasm of left kidney, excep"
Y,Y,K7689,3068,K7689 - Other specified diseases of liver
,,C773,3055,C773 - Secondary and unspecified malignant neop
,,Z951,3053,Z951 - Presence of aortocoronary bypass graft
,,F251,3049,"F251 - Schizoaffective disorder, depressive typ"
,,Z923,3037,Z923 - Personal history of irradiation
Y,,G459,3029,"G459 - Transient cerebral ischemic attack, unsp"
Y,,K210,3020,K210 - Gastro-esophageal reflux disease with es
,,E042,3017,E042 - Nontoxic multinodular goiter
,,Z008,2999,Z008 - Encounter for other general examination
Y,Y,K769,2996,"K769 - Liver disease, unspecified"
,,M4802,2990,"M4802 - Spinal stenosis, cervical region"
,,N289,2987,"N289 - Disorder of kidney and ureter, unspecifi"
,,Z9981,2976,Z9981 - Dependence on supplemental oxygen
,,E1151,2972,E1151 - Type 2 diabetes mellitus with diabetic p
Y,Y,R591,2953,R591 - Generalized enlarged lymph nodes
,,N2889,2939,N2889 - Other specified disorders of kidney and 
,,R739,2921,"R739 - Hyperglycemia, unspecified"
,,M5030,2891,"M5030 - Other cervical disc degeneration, unspec"
Y,,R1011,2888,R1011 - Right upper quadrant pain
,Y,M62838,2878,M62838 - Other muscle spasm
,Y,E46,2875,E46 - Unspecified protein-calorie malnutrition
,,C771,2871,C771 - Secondary and unspecified malignant neop
Y,Y,M5441,2822,"M5441 - Lumbago with sciatica, right side"
,,M79675,2817,M79675 - Pain in left toe(s)
,,I120,2800,I120 - Hypertensive chronic kidney disease with
Y,Y,M5442,2758,"M5442 - Lumbago with sciatica, left side"
,,I5030,2748,I5030 - Unspecified diastolic (congestive) heart
,,R7309,2744,R7309 - Other abnormal glucose
,,R21,2741,R21 - Rash and other nonspecific skin eruption
,,C259,2729,"C259 - Malignant neoplasm of pancreas, unspecif"
,,C772,2727,C772 - Secondary and unspecified malignant neop
,,F3181,2723,F3181 - Bipolar II disorder
,,K529,2721,K529 - Noninfective gastroenteritis and colitis
,,M961,2680,"M961 - Postlaminectomy syndrome, not elsewhere "
Y,Y,K2970,2673,"K2970 - Gastritis, unspecified, without bleeding"
Y,Y,R0781,2651,R0781 - Pleurodynia
,,G8918,2650,G8918 - Other acute postprocedural pain
,,Z96651,2634,Z96651 - Presence of right artificial knee joint
,,E1121,2627,E1121 - Type 2 diabetes mellitus with diabetic n
,,Z20828,2617,Z20828 - Contact with and (suspected) exposure to
,,D225,2607,D225 - Melanocytic nevi of trunk
,,Z4789,2586,Z4789 - Encounter for other orthopedic aftercare
,,E1169,2576,E1169 - Type 2 diabetes mellitus with other spec
,,D689,2572,"D689 - Coagulation defect, unspecified"
,,Z0001,2569,Z0001 - Encounter for general adult medical exam
,,R296,2567,R296 - Repeated falls
Y,Y,I499,2561,"I499 - Cardiac arrhythmia, unspecified"
,,E038,2553,E038 - Other specified hypothyroidism
,,R928,2551,R928 - Other abnormal and inconclusive findings
,,C140,2526,"C140 - Malignant neoplasm of pharynx, unspecifi"
,,R413,2519,R413 - Other amnesia
,,E872,2510,E872 - Acidosis
,Y,J849,2510,"J849 - Interstitial pulmonary disease, unspecif"
Y,Y,J4520,2504,"J4520 - Mild intermittent asthma, uncomplicated"
,,Z955,2498,Z955 - Presence of coronary angioplasty implant
,,Z4682,2491,Z4682 - Encounter for fitting and adjustment of 
,,F0150,2479,F0150 - Vascular dementia without behavioral dis
Y,Y,I70213,2477,I70213 - Atherosclerosis of native arteries of ex
,,Z483,2476,Z483 - Aftercare following surgery for neoplasm
,,N19,2475,N19 - Unspecified kidney failure
,,F333,2470,"F333 - Major depressive disorder, recurrent, se"
,,H3532,2466,H3532 - Exudative age-related macular degenerati
,,Z0389,2465,Z0389 - Encounter for observation for other susp
,,G609,2460,"G609 - Hereditary and idiopathic neuropathy, un"
,,Z952,2460,Z952 - Presence of prosthetic heart valve
,,C182,2459,C182 - Malignant neoplasm of ascending colon
,,F410,2456,F410 - Panic disorder [episodic paroxysmal anxi
,,M48061,2456,"M48061 - Spinal stenosis, lumbar region without n"
,,C029,2452,"C029 - Malignant neoplasm of tongue, unspecifie"
,,L820,2434,L820 - Inflamed seborrheic keratosis
,,L84,2431,L84 - Corns and callosities
,,R310,2425,R310 - Gross hematuria
,,I214,2411,I214 - Non-ST elevation (NSTEMI) myocardial inf
,,T451X5A,2411,T451X5A - Adverse effect of antineoplastic and imm
,,M722,2396,M722 - Plantar fascial fibromatosis
,,Z930,2396,Z930 - Tracheostomy status
,,D6481,2393,D6481 - Anemia due to antineoplastic chemotherap
,,H3531,2391,H3531 - Nonexudative age-related macular degener
,,R160,2391,"R160 - Hepatomegaly, not elsewhere classified"
,,H2512,2374,"H2512 - Age-related nuclear cataract, left eye"
,,H6123,2374,"H6123 - Impacted cerumen, bilateral"
,,F330,2359,"F330 - Major depressive disorder, recurrent, mi"
,,M5116,2358,M5116 - Intervertebral disc disorders with radic
Y,Y,M899,2335,"M899 - Disorder of bone, unspecified"
,,I130,2332,I130 - Hypertensive heart and chronic kidney di
,,Z1389,2320,Z1389 - Encounter for screening for other disord
,,F068,2310,F068 - Other specified mental disorders due to 
,,M19011,2310,"M19011 - Primary osteoarthritis, right shoulder"
,,K625,2306,K625 - Hemorrhage of anus and rectum
,,E663,2300,E663 - Overweight
,,Z96652,2295,Z96652 - Presence of left artificial knee joint
,,C50812,2287,C50812 - Malignant neoplasm of overlapping sites 
,,C786,2280,C786 - Secondary malignant neoplasm of retroper
,,L309,2277,"L309 - Dermatitis, unspecified"
Y,Y,J45901,2273,J45901 - Unspecified asthma with (acute) exacerba
,,R748,2269,R748 - Abnormal levels of other serum enzymes
,,K921,2264,K921 - Melena
,,E11621,2259,E11621 - Type 2 diabetes mellitus with foot ulcer
,,D709,2258,"D709 - Neutropenia, unspecified"
,,H409,2247,H409 - Unspecified glaucoma
,Y,I471,2242,I471 - Supraventricular tachycardia
,,Z9049,2240,Z9049 - Acquired absence of other specified part
,,M8580,2237,M8580 - Other specified disorders of bone densit
,,M1611,2233,"M1611 - Unilateral primary osteoarthritis, right"
,,R279,2231,R279 - Unspecified lack of coordination
Y,Y,J9690,2230,"J9690 - Respiratory failure, unspecified, unspec"
,,N1330,2227,N1330 - Unspecified hydronephrosis
,,R7301,2226,R7301 - Impaired fasting glucose
Y,Y,R0689,2223,R0689 - Other abnormalities of breathing
,,R202,2210,R202 - Paresthesia of skin
,,H2511,2207,"H2511 - Age-related nuclear cataract, right eye"
Y,Y,E8352,2177,E8352 - Hypercalcemia
Y,Y,J42,2177,J42 - Unspecified chronic bronchitis
,,Z006,2177,Z006 - Encounter for examination for normal com
,,L814,2155,L814 - Other melanin hyperpigmentation
Y,,N63,2150,N63 - Unspecified lump in breast
,,D508,2149,D508 - Other iron deficiency anemias
Y,,I495,2139,I495 - Sick sinus syndrome
,,D381,2136,D381 - Neoplasm of uncertain behavior of trache
,,M25571,2133,M25571 - Pain in right ankle and joints of right 
,,I209,2128,"I209 - Angina pectoris, unspecified"
,,Z8546,2128,Z8546 - Personal history of malignant neoplasm o
,,J910,2126,J910 - Malignant pleural effusion
,,J939,2124,"J939 - Pneumothorax, unspecified"
,,Z803,2116,Z803 - Family history of malignant neoplasm of 
,,R102,2114,R102 - Pelvic and perineal pain
,Y,E43,2113,E43 - Unspecified severe protein-calorie malnu
,,L03116,2113,L03116 - Cellulitis of left lower limb
Y,,I82409,2110,I82409 - Acute embolism and thrombosis of unspeci
Y,,I25119,2106,I25119 - Atherosclerotic heart disease of native 
Y,Y,R1032,2105,R1032 - Left lower quadrant pain
,,Z86718,2100,Z86718 - Personal history of other venous thrombo
,,M9904,2090,M9904 - Segmental and somatic dysfunction of sac
,,C539,2081,"C539 - Malignant neoplasm of cervix uteri, unsp"
,,S0990XA,2080,"S0990XA - Unspecified injury of head, initial enco"
,,I5033,2078,I5033 - Acute on chronic diastolic (congestive) 
Y,Y,R072,2076,R072 - Precordial pain
Y,Y,I272,2074,I272 - Other secondary pulmonary hypertension
,,R490,2071,R490 - Dysphonia
,,D638,2066,D638 - Anemia in other chronic diseases classif
,Y,R140,2056,R140 - Abdominal distension (gaseous)
,,Z1159,2051,Z1159 - Encounter for screening for other viral 
Y,Y,J479,2048,"J479 - Bronchiectasis, uncomplicated"
